Datum, Arbeitsaufwand in Stunden(h), Erledigte Arbeiten
27.Januar 2019, 4 , Themensuche und Skizze Vorgehen
29.Januar 2019, 2 , Analyze Webseite + erste einfache Anfrage programmieren
10.Februar 2019, 8 , Meetup-Teilnahme (2h) + Entwicklung Scraper für CH-Daten
11.Februar 2019, 4 , Arbeit am Scraper für CH-Daten
12.Februar 2019, 4 , Gespräch mit Briefingperson + Meetup-Teilnahme (2h)
17.Februar 2009, 8 , Meetup-Teilnahme (2h) + Scraper für CH fertigstellen und Daten abgespeichert
19.Februar 2019, 8 , Meetup-Teilnahme (2h) + Repetition Pandas + Analyse des Datensatzes und Erstellen der Variable JobCodes10
20.Februar 2019, 4 , Skizze eines Scrapers für die ganze Eures-Jobplattform + Ausdeutschen der JobCodes10
23.Februar 2019, 4 , Repetition Ploten mit Pandas
24.Februar 2019, 8 , Meetup-Teilnahme (2h) + Erstellen eines Barcharts in Pandas und abspeichern als png + Dokumentation
26.Februar 2019, 4 , Dokumentation + Storyskizze
28.Februar 2019, 4 , Fertigstellung Storyskizze + Upload auf GitHub